first,second,third
von,den,ausmaßen
den,ausmaßen,der
ausmaßen,der,erde
der,erde,zu
erde,zu,geben
zu,geben,würde
geben,würde,ich
würde,ich,sagen
ich,sagen,dass
sagen,dass,man
dass,man,vor
man,vor,der
vor,der,erfindung
der,erfindung,der
erfindung,der,elektrizität
der,elektrizität,auf
elektrizität,auf,allen
auf,allen,sechs
allen,sechs,kontinenten
sechs,kontinenten,eine
kontinenten,eine,armee
eine,armee,aus
armee,aus,vierhundertzweiundsechzigtausendfünfhundertelf
aus,vierhundertzweiundsechzigtausendfünfhundertelf,laternenanzündern
vierhundertzweiundsechzigtausendfünfhundertelf,laternenanzündern,beschäftigen
laternenanzündern,beschäftigen,musste
beschäftigen,musste,aus
musste,aus,der
aus,der,ferne
der,ferne,sah
ferne,sah,das
sah,das,umwerfend
das,umwerfend,aus
umwerfend,aus,die
aus,die,bewegungen
die,bewegungen,dieser
bewegungen,dieser,armee
dieser,armee,waren
armee,waren,einstudiert
waren,einstudiert,wie
einstudiert,wie,bei
wie,bei,einer
bei,einer,balletttruppe
einer,balletttruppe,an
balletttruppe,an,der
an,der,oper
der,oper,zuerst
oper,zuerst,waren
zuerst,waren,die
waren,die,anzünder
die,anzünder,in
anzünder,in,neuseeland
in,neuseeland,und
neuseeland,und,australien
und,australien,an
australien,an,der
an,der,reihe
der,reihe,die
reihe,die,gingen
die,gingen,schlafen
gingen,schlafen,wenn
schlafen,wenn,ihre
wenn,ihre,laternen
ihre,laternen,angezündet
laternen,angezündet,waren
angezündet,waren,dann
waren,dann,begann
dann,begann,der
begann,der,tanz
der,tanz,der
tanz,der,laternenanzünder
der,laternenanzünder,in
laternenanzünder,in,china
in,china,und
china,und,sibirien
und,sibirien,dann
sibirien,dann,verschwanden
dann,verschwanden,auch
verschwanden,auch,sie
auch,sie,hinter
sie,hinter,den
hinter,den,kulissen
den,kulissen,so
kulissen,so,waren
so,waren,die
waren,die,anzünder
die,anzünder,in
anzünder,in,russland
in,russland,und
russland,und,indien
und,indien,an
indien,an,der
an,der,reihe
der,reihe,dann
reihe,dann,die
dann,die,in
die,in,afrika
in,afrika,und
afrika,und,europa
und,europa,dann
europa,dann,die
dann,die,in
die,in,südamerika
in,südamerika,schließlich
südamerika,schließlich,jene
schließlich,jene,in
jene,in,nordamerika
in,nordamerika,niemals
nordamerika,niemals,verwechselten
niemals,verwechselten,sie
verwechselten,sie,die
sie,die,reihenfolge
die,reihenfolge,ihres
reihenfolge,ihres,auftritts
ihres,auftritts,es
auftritts,es,war
es,war,großartig
war,großartig,nur
großartig,nur,der
nur,der,anzünder
der,anzünder,der
anzünder,der,einzigen
der,einzigen,laterne
einzigen,laterne,am
laterne,am,nordpol
am,nordpol,und
nordpol,und,sein
und,sein,kollege
sein,kollege,mit
kollege,mit,der
mit,der,einzigen
der,einzigen,laterne
einzigen,laterne,am
laterne,am,südpol
am,südpol,führten
südpol,führten,ein
führten,ein,untätiges
ein,untätiges,und
untätiges,und,gemächliches
und,gemächliches,leben
gemächliches,leben,sie
leben,sie,arbeiteten
sie,arbeiteten,nur
arbeiteten,nur,zweimal
nur,zweimal,im
zweimal,im,jahr
im,jahr,wenn
jahr,wenn,man
wenn,man,klug
man,klug,wirken
klug,wirken,will
wirken,will,passiert
will,passiert,es
passiert,es,dass
es,dass,man
dass,man,ein
man,ein,wenig
ein,wenig,schwindelt
wenig,schwindelt,ich
schwindelt,ich,war
ich,war,nicht
war,nicht,ganz
nicht,ganz,ehrlich
ganz,ehrlich,als
ehrlich,als,ich
als,ich,euch
ich,euch,von
euch,von,den
von,den,laternenanzündern
den,laternenanzündern,erzählte
laternenanzündern,erzählte,es
erzählte,es,könnte
es,könnte,ein
könnte,ein,falsches
ein,falsches,bild
falsches,bild,von
bild,von,unserem
von,unserem,planeten
unserem,planeten,entstehen
planeten,entstehen,bei
entstehen,bei,jenen
bei,jenen,die
jenen,die,ihn
die,ihn,nicht
ihn,nicht,kennen
nicht,kennen,die
kennen,die,menschen
die,menschen,nehmen
menschen,nehmen,nur
nehmen,nur,wenig
nur,wenig,platz
wenig,platz,auf
platz,auf,der
auf,der,erde
der,erde,ein
erde,ein,wenn
ein,wenn,die
wenn,die,zwei
die,zwei,milliarden
zwei,milliarden,einwohner
milliarden,einwohner,die
einwohner,die,auf
die,auf,der
auf,der,erde
der,erde,leben
erde,leben,sich
leben,sich,wie
sich,wie,für
wie,für,eine
für,eine,versammlung
eine,versammlung,eng
versammlung,eng,nebeneinander
eng,nebeneinander,stellen
nebeneinander,stellen,würden
stellen,würden,dann
würden,dann,genügte
dann,genügte,für
genügte,für,sie
für,sie,ein
sie,ein,öffentlicher
ein,öffentlicher,platz
öffentlicher,platz,von
platz,von,zwanzig
von,zwanzig,meilen
zwanzig,meilen,länge
meilen,länge,und
länge,und,zwanzig
und,zwanzig,meilen
zwanzig,meilen,breite
meilen,breite,man
breite,man,könnte
man,könnte,die
könnte,die,gesamte
die,gesamte,menschheit
gesamte,menschheit,auf
menschheit,auf,der
auf,der,kleinsten
der,kleinsten,pazifischen
kleinsten,pazifischen,insel
pazifischen,insel,unterkriegen
insel,unterkriegen,die
unterkriegen,die,erwachsenen
die,erwachsenen,werden
erwachsenen,werden,euch
werden,euch,das
euch,das,natürlich
das,natürlich,nicht
natürlich,nicht,abnehmen
nicht,abnehmen,sie
abnehmen,sie,glauben
sie,glauben,sie
glauben,sie,nähmen
sie,nähmen,sehr
nähmen,sehr,viel
sehr,viel,platz
viel,platz,ein
platz,ein,sie
ein,sie,finden
sie,finden,sie
finden,sie,seien
sie,seien,ebenso
seien,ebenso,imposant
ebenso,imposant,wie
imposant,wie,affenbrotbäume
wie,affenbrotbäume,ihr
affenbrotbäume,ihr,solltet
ihr,solltet,ihnen
solltet,ihnen,raten
ihnen,raten,das
raten,das,mal
das,mal,zu
mal,zu,berechnen
zu,berechnen,sie
berechnen,sie,lieben
sie,lieben,zahlen
lieben,zahlen,das
zahlen,das,wird
das,wird,ihnen
wird,ihnen,gefallen
ihnen,gefallen,aber
gefallen,aber,verliert
aber,verliert,nicht
verliert,nicht,eure
nicht,eure,zeit
eure,zeit,damit
zeit,damit,das
damit,das,ist
das,ist,unnütz
ist,unnütz,ihr
unnütz,ihr,vertraut
ihr,vertraut,mir
vertraut,mir,ja
mir,ja,auf
ja,auf,der
auf,der,erde
der,erde,angekommen
erde,angekommen,war
angekommen,war,der
war,der,kleine
der,kleine,prinz
kleine,prinz,erstaunt
prinz,erstaunt,niemanden
erstaunt,niemanden,zu
niemanden,zu,sehen
zu,sehen,er
sehen,er,hatte
er,hatte,schon
hatte,schon,angst
schon,angst,sich
angst,sich,im
sich,im,planeten
im,planeten,geirrt
planeten,geirrt,zu
geirrt,zu,haben
zu,haben,als
haben,als,sich
als,sich,ein
sich,ein,mondfarbener
ein,mondfarbener,kringel
mondfarbener,kringel,in
kringel,in,der
in,der,erde
der,erde,bewegte
erde,bewegte,gute
bewegte,gute,nacht
gute,nacht,sagte
nacht,sagte,der
sagte,der,prinz
der,prinz,auf
prinz,auf,gut
auf,gut,glück
gut,glück,gute
glück,gute,nacht
gute,nacht,antwortete
nacht,antwortete,die
antwortete,die,schlange
die,schlange,auf
schlange,auf,welchem
auf,welchem,planeten
welchem,planeten,bin
planeten,bin,ich
bin,ich,gelandet
ich,gelandet,fragte
gelandet,fragte,der
fragte,der,kleine
der,kleine,prinz
kleine,prinz,auf
prinz,auf,der
auf,der,erde
der,erde,in
erde,in,afrika
in,afrika,antwortete
afrika,antwortete,die
antwortete,die,schlange
die,schlange,ah
schlange,ah,gibt
ah,gibt,es
gibt,es,denn
es,denn,niemanden
denn,niemanden,auf
niemanden,auf,der
auf,der,erde
der,erde,hier
erde,hier,ist
hier,ist,die
ist,die,wüste
die,wüste,es
wüste,es,gibt
es,gibt,niemanden
gibt,niemanden,in
niemanden,in,der
in,der,wüste
der,wüste,die
wüste,die,erde
die,erde,ist
erde,ist,groß
ist,groß,sagte
groß,sagte,die
sagte,die,schlange
die,schlange,der
schlange,der,kleine
der,kleine,prinz
kleine,prinz,setze
prinz,setze,sich
setze,sich,auf
sich,auf,einen
auf,einen,stein
einen,stein,und
stein,und,schaute
und,schaute,hinauf
schaute,hinauf,in
hinauf,in,den
in,den,himmel
den,himmel,ich
himmel,ich,frage
ich,frage,mich
frage,mich,sagte
mich,sagte,er
sagte,er,ob
er,ob,die
ob,die,sterne
die,sterne,erleuchtet
sterne,erleuchtet,sind
erleuchtet,sind,damit
sind,damit,jeder
damit,jeder,eines
jeder,eines,tages
eines,tages,seinen
tages,seinen,stern
seinen,stern,wiederfinden
stern,wiederfinden,kann
wiederfinden,kann,schau
kann,schau,dir
schau,dir,meinen
dir,meinen,planeten
meinen,planeten,an
planeten,an,er
an,er,ist
er,ist,gerade
ist,gerade,genau
gerade,genau,über
genau,über,uns
über,uns,aber
uns,aber,wie
aber,wie,weit
wie,weit,er
weit,er,doch
er,doch,fort
doch,fort,ist
fort,ist,er
ist,er,ist
er,ist,schön
ist,schön,sagte
schön,sagte,die
sagte,die,schlange
die,schlange,was
schlange,was,machst
was,machst,du
machst,du,hier
du,hier,ich
hier,ich,habe
ich,habe,schwierigkeiten
habe,schwierigkeiten,mit
schwierigkeiten,mit,einer
mit,einer,blume
einer,blume,sagte
blume,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,ah
prinz,ah,sagte
ah,sagte,die
sagte,die,schlange
die,schlange,und
schlange,und,sie
und,sie,schwiegen
sie,schwiegen,wo
schwiegen,wo,sind
wo,sind,die
sind,die,menschen
die,menschen,fuhr
menschen,fuhr,der
fuhr,der,kleine
der,kleine,prinz
kleine,prinz,fort
prinz,fort,man
fort,man,ist
man,ist,ganz
ist,ganz,einsam
ganz,einsam,in
einsam,in,der
in,der,wüste
der,wüste,bei
wüste,bei,den
bei,den,menschen
den,menschen,ist
menschen,ist,man
ist,man,auch
man,auch,einsam
auch,einsam,sagte
einsam,sagte,die
sagte,die,schlange
die,schlange,der
schlange,der,kleine
der,kleine,prinz
kleine,prinz,schaute
prinz,schaute,sie
schaute,sie,lange
sie,lange,an
lange,an,du
an,du,bist
du,bist,ein
bist,ein,lustiges
ein,lustiges,tier
lustiges,tier,sagte
tier,sagte,er
sagte,er,schließlich
er,schließlich,so
schließlich,so,dünn
so,dünn,wie
dünn,wie,ein
wie,ein,finger
ein,finger,aber
finger,aber,ich
aber,ich,bin
ich,bin,mächtiger
bin,mächtiger,als
mächtiger,als,der
als,der,finger
der,finger,eines
finger,eines,königs
eines,königs,sagte
königs,sagte,die
sagte,die,schlange
die,schlange,der
schlange,der,kleine
der,kleine,prinz
kleine,prinz,lächelte
prinz,lächelte,du
lächelte,du,bist
du,bist,doch
bist,doch,nicht
doch,nicht,stark
nicht,stark,du
stark,du,hast
du,hast,nicht
hast,nicht,einmal
nicht,einmal,füße
einmal,füße,du
füße,du,kannst
du,kannst,nicht
kannst,nicht,mal
nicht,mal,herumkommen
mal,herumkommen,ich
herumkommen,ich,kann
ich,kann,dich
kann,dich,weiter
dich,weiter,fortbringen
weiter,fortbringen,als
fortbringen,als,ein
als,ein,schiff
ein,schiff,sagte
schiff,sagte,die
sagte,die,schlange
die,schlange,sie
schlange,sie,rollte
sie,rollte,sich
rollte,sich,um
sich,um,den
um,den,knöchel
den,knöchel,des
knöchel,des,kleinen
des,kleinen,prinzen
kleinen,prinzen,wie
prinzen,wie,ein
wie,ein,goldarmband
ein,goldarmband,denjenigen
goldarmband,denjenigen,den
denjenigen,den,ich
den,ich,berühre
ich,berühre,übergebe
berühre,übergebe,ich
übergebe,ich,der
ich,der,erde
der,erde,aus
erde,aus,der
aus,der,er
der,er,stammt
er,stammt,aber
stammt,aber,du
aber,du,bist
du,bist,rein
bist,rein,du
rein,du,kommst
du,kommst,von
kommst,von,einem
von,einem,stern
einem,stern,der
stern,der,kleine
der,kleine,prinz
kleine,prinz,antwortete
prinz,antwortete,nichts
antwortete,nichts,ich
nichts,ich,habe
ich,habe,mitleid
habe,mitleid,mit
mitleid,mit,dir
mit,dir,so
dir,so,schwach
so,schwach,wie
schwach,wie,du
wie,du,bist
du,bist,auf
bist,auf,dieser
auf,dieser,erde
dieser,erde,aus
erde,aus,granit
aus,granit,ich
granit,ich,kann
ich,kann,dir
kann,dir,helfen
dir,helfen,wenn
helfen,wenn,du
wenn,du,eines
du,eines,tages
eines,tages,sehnsucht
tages,sehnsucht,nach
sehnsucht,nach,deinem
nach,deinem,planeten
deinem,planeten,hast
planeten,hast,ich
hast,ich,kann
ich,kann,oh
kann,oh,ich
oh,ich,habe
ich,habe,sehr
habe,sehr,gut
sehr,gut,verstanden
gut,verstanden,sagte
verstanden,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,aber
prinz,aber,warum
aber,warum,sprichst
warum,sprichst,du
sprichst,du,immer
du,immer,in
immer,in,rätseln
in,rätseln,ich
rätseln,ich,löse
ich,löse,sie
löse,sie,alle
sie,alle,sagte
alle,sagte,die
sagte,die,schlange
die,schlange,und
schlange,und,sie
und,sie,schwiegen
sie,schwiegen,der
schwiegen,der,kleine
der,kleine,prinz
kleine,prinz,lief
prinz,lief,durch
lief,durch,die
durch,die,wüste
die,wüste,und
wüste,und,begegnete
und,begegnete,nur
begegnete,nur,einer
nur,einer,blume
einer,blume,einer
blume,einer,blume
einer,blume,mit
blume,mit,drei
mit,drei,blütenblättern
drei,blütenblättern,einer
blütenblättern,einer,ganz
einer,ganz,mickrigen
ganz,mickrigen,blume
mickrigen,blume,guten
blume,guten,tag
guten,tag,sagte
tag,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,guten
prinz,guten,tag
guten,tag,sagte
tag,sagte,die
sagte,die,blume
die,blume,wo
blume,wo,sind
wo,sind,die
sind,die,menschen
die,menschen,fragte
menschen,fragte,der
fragte,der,kleine
der,kleine,prinz
kleine,prinz,höflich
prinz,höflich,die
höflich,die,blume
die,blume,hatte
blume,hatte,eines
hatte,eines,tages
eines,tages,eine
tages,eine,karawane
eine,karawane,vorbeifahren
karawane,vorbeifahren,sehen
vorbeifahren,sehen,die
sehen,die,menschen
die,menschen,ich
menschen,ich,glaube
ich,glaube,es
glaube,es,gibt
es,gibt,sechs
gibt,sechs,oder
sechs,oder,sieben
oder,sieben,ich
sieben,ich,habe
ich,habe,sie
habe,sie,gesehen
sie,gesehen,nur
gesehen,nur,ist
nur,ist,das
ist,das,jahre
das,jahre,her
jahre,her,man
her,man,weiß
man,weiß,ja
weiß,ja,nie
ja,nie,wo
nie,wo,man
wo,man,sie
man,sie,findet
sie,findet,der
findet,der,wind
der,wind,treibt
wind,treibt,sie
treibt,sie,umher
sie,umher,ihnen
umher,ihnen,fehlen
ihnen,fehlen,wurzeln
fehlen,wurzeln,das
wurzeln,das,macht
das,macht,ihnen
macht,ihnen,zu
ihnen,zu,schaffen
zu,schaffen,adieu
schaffen,adieu,sagte
adieu,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,adieu
prinz,adieu,sagte
adieu,sagte,die
sagte,die,blume
die,blume,der
blume,der,kleine
der,kleine,prinz
kleine,prinz,bestieg
prinz,bestieg,einen
bestieg,einen,hohen
einen,hohen,berg
hohen,berg,die
berg,die,einzigen
die,einzigen,berge
einzigen,berge,die
berge,die,er
die,er,kannte
er,kannte,waren
kannte,waren,die
waren,die,drei
die,drei,vulkane
drei,vulkane,die
vulkane,die,ihm
die,ihm,bis
ihm,bis,zu
bis,zu,den
zu,den,knien
den,knien,reichten
knien,reichten,und
reichten,und,den
und,den,erloschenen
den,erloschenen,vulkan
erloschenen,vulkan,benutzte
vulkan,benutzte,er
benutzte,er,als
er,als,hocker
als,hocker,von
hocker,von,einem
von,einem,so
einem,so,hohen
so,hohen,berg
hohen,berg,sagte
berg,sagte,er
sagte,er,sich
er,sich,werde
sich,werde,ich
werde,ich,den
ich,den,ganzen
den,ganzen,planeten
ganzen,planeten,und
planeten,und,alle
und,alle,menschen
alle,menschen,auf
menschen,auf,einmal
auf,einmal,sehen
einmal,sehen,aber
sehen,aber,er
aber,er,sah
er,sah,nur
sah,nur,die
nur,die,spitzen
die,spitzen,von
spitzen,von,scharfen
von,scharfen,felsen
scharfen,felsen,guten
felsen,guten,tag
guten,tag,sagte
tag,sagte,er
sagte,er,auf
er,auf,gut
auf,gut,glück
gut,glück,guten
glück,guten,tag
guten,tag,guten
tag,guten,tag
guten,tag,guten
tag,guten,tag
guten,tag,antwortete
tag,antwortete,das
antwortete,das,echo
das,echo,wer
echo,wer,seid
wer,seid,ihr
seid,ihr,sagte
ihr,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,wer
prinz,wer,seid
wer,seid,ihr
seid,ihr,wer
ihr,wer,seid
wer,seid,ihr
seid,ihr,wer
ihr,wer,seid
wer,seid,ihr
seid,ihr,antwortete
ihr,antwortete,das
antwortete,das,echo
das,echo,werdet
echo,werdet,meine
werdet,meine,freunde
meine,freunde,ich
freunde,ich,bin
ich,bin,allein
bin,allein,sagte
allein,sagte,er
sagte,er,ich
er,ich,bin
ich,bin,allein
bin,allein,ich
allein,ich,bin
ich,bin,allein
bin,allein,ich
allein,ich,bin
ich,bin,allein
bin,allein,antwortete
allein,antwortete,das
antwortete,das,echowas
das,echowas,für
echowas,für,ein
für,ein,komischer
ein,komischer,planet
komischer,planet,dachte
planet,dachte,er
dachte,er,er
er,er,ist
er,ist,ganz
ist,ganz,trocken
ganz,trocken,alles
trocken,alles,ist
alles,ist,spitz
ist,spitz,und
spitz,und,salzig
und,salzig,und
salzig,und,die
und,die,menschen
die,menschen,haben
menschen,haben,keine
haben,keine,fantasie
keine,fantasie,sie
fantasie,sie,wiederholen
sie,wiederholen,was
wiederholen,was,man
was,man,ihnen
man,ihnen,sagt
ihnen,sagt,bei
sagt,bei,mir
bei,mir,zuhause
mir,zuhause,hatte
zuhause,hatte,ich
hatte,ich,eine
ich,eine,blume
eine,blume,die
blume,die,sprach
die,sprach,immer
sprach,immer,als
immer,als,erste
als,erste,aber
erste,aber,als
aber,als,der
als,der,kleine
der,kleine,prinz
kleine,prinz,lange
prinz,lange,über
lange,über,sand
über,sand,felsen
sand,felsen,und
felsen,und,durch
und,durch,schnee
durch,schnee,gewandert
schnee,gewandert,war
gewandert,war,geschah
war,geschah,es
geschah,es,dass
es,dass,er
dass,er,endlich
er,endlich,eine
endlich,eine,straße
eine,straße,entdeckte
straße,entdeckte,und
entdeckte,und,alle
und,alle,straßen
alle,straßen,führen
straßen,führen,zu
führen,zu,menschen
zu,menschen,guten
menschen,guten,tag
guten,tag,sagte
tag,sagte,er
sagte,er,es
er,es,war
es,war,ein
war,ein,garten
ein,garten,voll
garten,voll,blühender
voll,blühender,rosen
blühender,rosen,guten
rosen,guten,tag
guten,tag,sagten
tag,sagten,die
sagten,die,rosen
die,rosen,der
rosen,der,kleine
der,kleine,prinz
kleine,prinz,schaute
prinz,schaute,sie
schaute,sie,an
sie,an,sie
an,sie,glichen
sie,glichen,alle
glichen,alle,seiner
alle,seiner,blume
seiner,blume,wer
blume,wer,seid
wer,seid,ihr
seid,ihr,fragte
ihr,fragte,er
fragte,er,sie
er,sie,verdutzt
sie,verdutzt,wir
verdutzt,wir,sind
wir,sind,rosen
sind,rosen,sagten
rosen,sagten,die
sagten,die,rosen
die,rosen,ah
rosen,ah,machte
ah,machte,der
machte,der,kleine
der,kleine,prinz
kleine,prinz,und
prinz,und,er
und,er,fühlte
er,fühlte,sich
fühlte,sich,sehr
sich,sehr,unglücklich
sehr,unglücklich,seine
unglücklich,seine,blume
seine,blume,hatte
blume,hatte,ihm
hatte,ihm,erzählt
ihm,erzählt,sie
erzählt,sie,sei
sie,sei,im
sei,im,ganzen
im,ganzen,universum
ganzen,universum,die
universum,die,einzige
die,einzige,ihrer
einzige,ihrer,art
ihrer,art,und
art,und,hier
und,hier,gab
hier,gab,es
gab,es,gleich
es,gleich,fünftausend
gleich,fünftausend,von
fünftausend,von,ihnen
von,ihnen,die
ihnen,die,alle
die,alle,gleich
alle,gleich,aussahen
gleich,aussahen,in
aussahen,in,einem
in,einem,einzigen
einem,einzigen,gartensie
einzigen,gartensie,wäre
gartensie,wäre,sicher
wäre,sicher,beleidigt
sicher,beleidigt,sagte
beleidigt,sagte,er
sagte,er,sich
er,sich,wenn
sich,wenn,sie
wenn,sie,das
sie,das,sehen
das,sehen,würde
sehen,würde,sie
würde,sie,würde
sie,würde,schrecklich
würde,schrecklich,husten
schrecklich,husten,und
husten,und,vorgeben
und,vorgeben,zu
vorgeben,zu,sterben
zu,sterben,um
sterben,um,sich
um,sich,nicht
sich,nicht,lächerlich
nicht,lächerlich,zu
lächerlich,zu,machen
zu,machen,und
machen,und,ich
und,ich,wäre
ich,wäre,wohl
wäre,wohl,gezwungen
wohl,gezwungen,so
gezwungen,so,zu
so,zu,tun
zu,tun,als
tun,als,ob
als,ob,ich
ob,ich,sie
ich,sie,pflegte
sie,pflegte,denn
pflegte,denn,ansonsten
denn,ansonsten,gäbe
ansonsten,gäbe,sie
gäbe,sie,sich
sie,sich,wirklich
sich,wirklich,dem
wirklich,dem,sterben
dem,sterben,hin
sterben,hin,um
hin,um,auch
um,auch,mich
auch,mich,zu
mich,zu,verletzen
zu,verletzen,dann
verletzen,dann,sagte
dann,sagte,er
sagte,er,sich
er,sich,noch
sich,noch,ich
noch,ich,dachte
ich,dachte,ich
dachte,ich,sei
ich,sei,reich
sei,reich,dank
reich,dank,meiner
dank,meiner,einzigartigen
meiner,einzigartigen,blume
einzigartigen,blume,und
blume,und,dabei
und,dabei,besitze
dabei,besitze,ich
besitze,ich,nur
ich,nur,eine
nur,eine,gewöhnliche
eine,gewöhnliche,rose
gewöhnliche,rose,dazu
rose,dazu,meine
dazu,meine,drei
meine,drei,vulkane
drei,vulkane,die
vulkane,die,mir
die,mir,bis
mir,bis,an
bis,an,die
an,die,knie
die,knie,reichen
knie,reichen,und
reichen,und,von
und,von,denen
von,denen,einer
denen,einer,vielleicht
einer,vielleicht,für
vielleicht,für,immer
für,immer,erloschen
immer,erloschen,ist
erloschen,ist,das
ist,das,macht
das,macht,keinen
macht,keinen,sonderlich
keinen,sonderlich,großen
sonderlich,großen,prinzen
großen,prinzen,aus
prinzen,aus,mir
aus,mir,und
mir,und,er
und,er,legte
er,legte,sich
legte,sich,ins
sich,ins,gras
ins,gras,und
gras,und,weinte
und,weinte,in
weinte,in,diesem
in,diesem,moment
diesem,moment,tauchte
moment,tauchte,der
tauchte,der,fuchs
der,fuchs,auf
fuchs,auf,guten
auf,guten,tag
guten,tag,sagte
tag,sagte,der
sagte,der,fuchs
der,fuchs,guten
fuchs,guten,tag
guten,tag,antwortete
tag,antwortete,der
antwortete,der,kleine
der,kleine,prinz
kleine,prinz,höflich
prinz,höflich,er
höflich,er,drehte
er,drehte,sich
drehte,sich,um
sich,um,aber
um,aber,sah
aber,sah,nichts
sah,nichts,hier
nichts,hier,bin
hier,bin,ich
bin,ich,sagte
ich,sagte,die
sagte,die,stimme
die,stimme,unter
stimme,unter,dem
unter,dem,apfelbaum
dem,apfelbaum,wer
apfelbaum,wer,bist
wer,bist,du
bist,du,sagte
du,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,du
prinz,du,bist
du,bist,sehr
bist,sehr,hübsch
sehr,hübsch,ich
